1311693.43,0.38
1240583.19,-1.09
1185502.49,-2.41
1145963.66,-4.23
1123874.26,-4.4
1123363.46,-4.44
1143067.45,-4.43
1203920.4,-4.33
1235552.53,-4.3
1309375.47,-4.27
1374002.69,-4.28
1443991.74,-3.76
1500844.27,0
1543874.39,0
1552964.27,0
1534563.68,0
1546070.96,0
1706244.14,1
1723079.91,6.34
1686242.17,5.88
1644676.19,5.81
1584934.98,5.7
1505729.56,6.51
1397898.83,2.75
1296008.18,0.49
1261662.23,0
1211179.86,0
1178302.61,-0.85
1165597.92,-4.12
1183031.38,-4.1
1221327.13,-4.26
1315574.04,-1.64
1394355.88,-1.29
1499611.42,3.61
1595385.31,7.49
1669397.6,12.36
1698261.43,10.72
1693087,11.25
1682811.05,0
1687794.84,0
1718343.91,0
1844941.24,2.96
1849935.45,5.85
1800446.91,5.6
1738673.42,1.82
1672692.01,0
1577806.62,0
1466351.97,0
1346408.94,0
1357615.49,-0.35
1288952.55,-4.26
1250716.67,-4.27
1237807.94,-4.3
1251612.01,-4.36
1286328.6,-4.17
1374477.43,-2.64
1441767.08,-0.25
1529911.22,-0.37
1630086.86,0
1703264.08,0
1721028.16,0
1739179.79,0.76
1748533.34,0
1770184.02,5.17
1827423.36,5.89
2042779.41,9.27
2086663.47,21.67
2047494.85,20.89
1985484.58,52.45
1902177.87,22.63
1779518.94,26.69
1628236.69,14.64
1531778.93,8.1
1454224.36,6.36
1415799.32,5.6
1405829.44,-0.02
1420746.32,-4.1
1494280.66,-0.93
1668982.5,1.32
1917948.43,9.81
1974659.91,18.86
1999576.96,15.91
2025574.48,14.51
2046300.04,5.89
2044840.92,14.34
2038989.17,13.89
2033549.22,13.31
2056571.21,11.49
2110940.78,16.53
2301902.48,30.79
2354870.82,48.69
2320459.37,39.26
2254917.73,37.12
2141735.4,30.54
1977754.01,27.53
1794880.57,25.26
1657504.05,25.69
1579012.26,61.53
1536048.71,29.23
1514904.72,27.51
1522926.59,26.15
1584850.42,14.34
1753322.3,15.2
1984732.13,29.57
2020075.37,39.33
2029818.26,76.26
2038558.32,29.53
2040286.3,29.02
2024363.12,27.6
2000929.37,24.44
1983094.93,8.13
1996034.42,5.98
2045099.77,12.1
2221052.52,29.74
2262835.76,31.7
2234682.04,29.86
2170672.28,30.6
2060482.9,22.78
1900606.88,17.44
1716199.78,4.83
1580280.3,3.1
1493869.55,0.38
1447366.54,0
1425159.74,0
1427623.14,0
1490167.3,-0.25
1650315.81,0.81
1885394.6,9.99
1915876.67,15.56
1933477.13,15.96
1935677.67,14.06
1932291.94,12.7
1927416.55,12.71
1926832.34,9.01
1908998.13,6.54
1912496.39,5.91
